ID_SNIES;Sexo;Estado Civil;Etnia;Discapacidad;Departamento Nacimiento;Programa;Facultad;Tipo Plan;Nombre Plan;PROMEDIO_1er_SEMESTRE;PROMEDIO_2do_SEMESTRE;Desertor;Semestre Ingreso;Edad Ingreso;Cantidad de materias vistas;Cantidad de cursos libres reprobados;Cantidad de cursos libres aprobados;Promedio de las materias;Cantidad de materias perdidas;Cantidad de creditos inscritos;Semestre Ubicación;Desertor Predicción;Probabilidad de deserción
5151-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,07;3,87;No;1;17;65;0,0;6,0;4,015789473684211;4,0;168,0;9,0;No;0,0
5168-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,87;4,04;No;1;17;62;0,0;6,0;4,108867924528302;1,0;159,0;9,0;No;0,0
5216-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,91;3,91;No;1;17;61;0,0;6,0;4,047358490566038;0,0;156,0;9,0;No;0,0
5281-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,04;4,22;No;1;16;61;0,0;6,0;4,184;0,0;156,0;9,0;No;0,0
5351-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,73;3,97;No;1;16;61;0,0;6,0;3,883090909090909;0,0;156,0;9,0;No;0,0
5424-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,03;3,72;No;1;16;61;0,0;6,0;4,062909090909091;0,0;156,0;9,0;No;0,0
5746-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,03;4,34;No;1;17;62;0,0;6,0;4,199464285714286;1,0;159,0;9,0;No;0,0
5779-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,73;4,02;No;1;16;63;1,0;6,0;3,945178571428571;1,0;158,0;9,0;No;0,0
6024-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,21;4,07;No;1;16;62;0,0;6,0;4,100727272727273;1,0;159,0;9,0;No;0,0
6079-1110;Femenino;Soltero(a);No informa;Ninguna;Santander;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,61;3,29;Si;1;16;38;3,0;2,0;2,986060606060606;10,0;78,0;3,0;Si;1,0
6356-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,42;3,24;No;1;18;69;0,0;6,0;3,509193548387097;8,0;175,0;9,0;No;0,0
6380-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,01;4,04;Si;1;18;31;0,0;4,0;3,994615384615385;1,0;67,0;5,0;Si;1,0
6447-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,31;3,9;No;1;17;63;0,0;6,0;3,8742105263157898;2,0;161,0;9,0;No;0,0
6455-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,14;3,99;No;1;17;68;0,0;6,0;4,053;1,0;158,0;9,0;No;0,0
6484-1110;Femenino;Soltero(a);No pertenece;Ninguna;Cesar;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,13;3,88;No;1;16;65;0,0;6,0;4,268363636363636;0,0;156,0;9,0;No;0,0
6488-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,49;3,95;No;1;16;65;0,0;6,0;3,7433898305084745;4,0;164,0;9,0;No;0,0
6535-1110;Femenino;Casado(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,33;3,81;Si;1;16;16;0,0;1,0;3,586;2,0;36,0;3,0;Si;1,0
6716-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,86;3,64;No;1;17;64;0,0;6,0;3,6622413793103448;3,0;163,0;9,0;No;0,0
6745-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,81;3,9;No;1;17;62;0,0;6,0;3,959107142857143;1,0;159,0;9,0;No;0,0
7120-1110;Femenino;Casado(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,75;3,59;No;1;18;64;0,0;6,0;3,7256896551724137;3,0;162,0;9,0;No;0,0
7144-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,83;4,11;No;1;18;61;0,0;6,0;4,132037037037037;0,0;156,0;9,0;No;0,0
7231-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,77;4,26;No;1;17;63;0,0;6,0;3,975471698113208;0,0;156,0;9,0;No;0,0
7262-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,55;3,91;No;1;16;62;0,0;6,0;3,9144642857142857;1,0;158,0;9,0;No;0,0
7265-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,71;4,25;No;1;16;62;0,0;6,0;4,136071428571428;1,0;158,0;9,0;No;0,0
7268-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,0;4,36;No;1;16;69;1,0;6,0;3,854193548387097;7,0;174,0;9,0;No;0,0
7478-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,7;3,9;No;1;20;61;0,0;6,0;4,024339622641509;0,0;156,0;9,0;No;0,0
7676-1110;Femenino;Soltero(a);No pertenece;Ninguna;Antioquia;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,14;4,21;No;1;18;63;0,0;6,0;4,213148148148148;0,0;156,0;9,0;No;0,0
7752-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,06;3,68;No;1;17;62;0,0;6,0;3,991428571428572;1,0;159,0;9,0;No;0,0
7804-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,62;3,99;No;1;17;63;0,0;6,0;3,9610909090909088;0,0;156,0;9,0;No;0,0
7815-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,45;3,55;No;1;17;70;4,0;5,0;3,617333333333333;6,0;170,0;9,0;No;0,0
8497-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,25;4,23;No;1;17;63;0,0;6,0;4,182156862745098;0,0;156,0;9,0;No;0,0
8898-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,3;3,97;No;1;17;65;0,0;6,0;3,806440677966101;4,0;167,0;9,0;No;0,0
8929-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,93;4,19;No;1;17;65;0,0;6,0;4,062941176470589;0,0;156,0;9,0;No;0,0
8966-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,76;4,08;No;1;16;69;3,0;6,0;3,805833333333333;5,0;167,0;9,0;No;0,0
9373-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,75;3,77;No;1;17;61;0,0;6,0;3,9989090909090903;0,0;156,0;9,0;No;0,0
9394-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,81;3,37;No;1;16;69;1,0;6,0;3,591639344262295;7,0;174,0;9,0;No;0,0
9395-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,56;3,33;No;1;16;67;0,0;6,0;3,655081967213115;6,0;170,0;9,0;No;0,0
9502-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,76;3,94;No;1;18;62;0,0;6,0;4,115272727272727;1,0;158,0;9,0;No;0,0
9682-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,6;3,96;No;1;17;66;1,0;6,0;3,902033898305085;4,0;167,0;9,0;No;0,0
9687-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,4;3,51;No;1;17;65;0,0;6,0;3,681694915254237;4,0;168,0;9,0;No;0,0
9752-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,64;3,95;No;1;17;63;0,0;6,0;3,912857142857143;2,0;162,0;9,0;No;0,0
10248-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,58;3,78;Si;1;18;31;0,0;4,0;3,7107407407407407;0,0;67,0;5,0;Si;1,0
10288-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,39;4,01;No;1;18;70;2,0;6,0;3,999433962264151;1,0;158,0;9,0;No;0,0
10315-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,54;3,58;No;1;18;67;0,0;6,0;3,575333333333333;6,0;171,0;9,0;No;0,0
10363-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,76;3,48;Si;1;17;16;1,0;1,0;3,608571428571428;2,0;34,0;2,0;Si;1,0
10366-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,42;3,95;No;1;17;71;0,0;6,0;3,633538461538462;10,0;178,0;9,0;No;0,0
10406-1110;Femenino;Soltero(a);No pertenece;Ninguna;Boyacá;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,43;3,77;No;1;17;64;1,0;6,0;3,945;2,0;161,0;9,0;No;0,0
10408-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,54;4,03;No;1;17;61;0,0;6,0;4,086792452830188;0,0;156,0;9,0;No;0,0
10596-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,47;3,46;No;1;17;68;0,0;6,0;3,691129032258064;7,0;176,0;9,0;No;0,0
10704-1110;Femenino;Soltero(a);No pertenece;Ninguna;Boyacá;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,01;4,1;No;1;18;62;0,0;6,0;3,968909090909091;1,0;158,0;9,0;No;0,0
10706-1110;Femenino;Soltero(a);No pertenece;Ninguna;Boyacá;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,91;3,61;No;1;18;65;0,0;6,0;3,796440677966102;4,0;168,0;9,0;No;0,0
10813-1110;Femenino;Soltero(a);No pertenece;Ninguna;Boyacá;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,71;3,91;No;1;16;61;0,0;6,0;4,073636363636364;0,0;156,0;9,0;No;0,0
10977-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,79;4,05;No;1;18;63;0,0;6,0;3,898947368421053;2,0;161,0;9,0;No;0,0
10980-1110;Femenino;Soltero(a);No pertenece;Ninguna;Cundinamarca;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,45;3,85;No;1;16;64;0,0;6,0;3,8640350877192975;3,0;165,0;9,0;No;0,0
11058-1110;Femenino;Soltero(a);No pertenece;Ninguna;Cundinamarca;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,14;4,32;No;1;17;65;0,0;6,0;4,197924528301887;0,0;156,0;9,0;No;0,0
11129-1110;Femenino;Casado(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,3;3,4;Si;1;19;23;0,0;2,0;3,2723809523809524;5,0;52,0;2,0;Si;1,0
11228-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,82;4,07;No;1;17;61;0,0;6,0;4,003454545454545;0,0;156,0;9,0;No;0,0
11804-1110;Femenino;Soltero(a);No informa;Ninguna;Meta;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,65;4,22;No;1;17;63;0,0;6,0;4,08;0,0;156,0;9,0;No;0,0
11844-1110;Femenino;Soltero(a);No informa;Ninguna;La Guajira;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,26;4,42;No;1;18;75;0,0;6,0;4,3986;0,0;156,0;9,0;No;0,0
11861-1110;Femenino;Soltero(a);Comunidad negra;Ninguna;Archipiélago de San Andrés, Providencia y Santa Catalina;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,44;3,54;No;1;17;64;0,0;6,0;3,689298245614035;3,0;162,0;9,0;No;0,0
12673-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,55;3,39;No;1;17;66;1,0;6,0;3,7559322033898304;4,0;166,0;9,0;No;0,0
12718-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,49;3,18;Si;1;19;23;0,0;2,0;3,261428571428571;6,0;52,0;2,0;Si;1,0
12810-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,59;3,41;Si;1;16;16;0,0;2,0;3,5307142857142857;1,0;34,0;2,0;Si;1,0
368-1111;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;4,43;4,42;Si;1;30;13;0,0;0,0;4,371666666666667;0,0;33,0;2,0;Si;1,0
3649-1111;Femenino;Soltero(a);Pueblo indígena;Ninguna;La Guajira;trabajo social;ciencias sociales y humanas;2;trabajo social;3,63;3,77;No;1;17;59;0,0;0,0;3,932372881355932;0,0;170,0;10,0;No;0,0
5170-1111;Femenino;Soltero(a);No informa;Ninguna;Antioquia;trabajo social;ciencias sociales y humanas;2;trabajo social;3,66;3,91;No;1;17;59;0,0;0,0;4,069310344827587;0,0;170,0;10,0;No;0,0
5188-1111;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;4,07;3,73;No;1;17;59;0,0;0,0;4,106551724137932;0,0;170,0;10,0;No;0,0
5224-1111;Femenino;Soltero(a);No pertenece;Ninguna;Meta;trabajo social;ciencias sociales y humanas;2;trabajo social;3,72;3,76;No;1;17;59;0,0;0,0;4,02135593220339;0,0;170,0;10,0;No;0,0
5243-1111;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;3,6;3,84;No;1;17;59;0,0;0,0;4,000169491525424;0,0;170,0;10,0;No;0,0
5691-1111;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;3,18;3,52;No;1;19;61;0,0;0,0;3,730983606557377;2,0;175,0;10,0;No;0,0
5889-1111;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;3,59;3,81;No;1;19;61;0,0;0,0;3,88327868852459;2,0;180,0;10,0;No;0,0
6029-1111;Femenino;Soltero(a);No pertenece;Ninguna;Antioquia;trabajo social;ciencias sociales y humanas;2;trabajo social;3,47;3,73;No;1;16;60;0,0;0,0;3,9235;1,0;173,0;10,0;No;0,0
6489-1111;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;3,74;4,12;No;1;16;60;0,0;0,0;4,173103448275862;1,0;173,0;10,0;No;0,0
7222-1111;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;3,58;3,71;No;1;17;61;0,0;0,0;3,849;2,0;175,0;10,0;No;0,0
8946-1111;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;4,49;4,38;No;1;17;69;0,0;0,0;4,37625;0,0;170,0;10,0;No;0,0
8951-1111;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;4,19;4,02;No;1;17;59;0,0;0,0;4,2268965517241375;0,0;170,0;10,0;No;0,0
9103-1111;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;3,64;4,04;No;1;17;61;0,0;0,0;3,9829508196721313;2,0;178,0;10,0;No;0,0
9360-1111;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;3,46;3,42;Si;1;17;25;0,0;0,0;2,616;8,0;64,0;3,0;Si;1,0
9599-1111;Femenino;Soltero(a);No pertenece;Ninguna;Nariño;trabajo social;ciencias sociales y humanas;2;trabajo social;3,72;3,7;No;1;22;59;0,0;0,0;3,8964406779661016;0,0;170,0;10,0;No;0,0
9764-1111;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;4,08;4,3;Si;1;16;19;0,0;0,0;3,418421052631579;3,0;49,0;3,0;Si;1,0
10299-1111;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;3,64;3,61;No;1;18;59;0,0;0,0;3,996101694915255;0,0;170,0;10,0;No;0,0
11052-1111;Femenino;Soltero(a);No informa;Ninguna;Cundinamarca;trabajo social;ciencias sociales y humanas;2;trabajo social;4,1;3,9;No;1;17;59;0,0;0,0;4,097796610169492;0,0;170,0;10,0;No;0,0
12090-1111;Femenino;Soltero(a);No pertenece;Ninguna;Valle del Cauca;trabajo social;ciencias sociales y humanas;2;trabajo social;3,98;3,52;Si;1;19;59;0,0;0,0;3,9986440677966097;0,0;170,0;10,0;Si;1,0
12609-1111;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;3,78;3,68;No;1;17;61;0,0;0,0;4,0530508474576274;0,0;170,0;10,0;No;0,0
12635-1111;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;trabajo social;3,86;3,83;No;1;17;59;0,0;0,0;4,141694915254237;0,0;170,0;10,0;No;0,0
8923-1111;Femenino;Soltero(a);No informa;Ninguna;Tolima;trabajo social;ciencias sociales y humanas;2;trabajo social;4,09;3,98;Si;1;17;61;0,0;0,0;3,9414754098360656;6,0;169,0;10,0;Si;1,0
7139-1111;Femenino;Soltero(a);No pertenece;Ninguna;Norte de Santander;trabajo social;ciencias sociales y humanas;2;trabajo social;3,24;3,92;No;1;18;65;0,0;0,0;3,795692307692308;6,0;192,0;10,0;No;0,0
3513-1113;Femenino;Soltero(a);No pertenece;Ninguna;Arauca;economía;economía;2;economia;4,04;4,06;No;1;16;62;0,0;5,0;4,0937735849056605;0,0;162,0;9,0;No;0,0
3745-1113;Femenino;Soltero(a);No pertenece;Ninguna;Casanare;economía;economía;2;economia;3,63;3,23;No;1;16;69;0,0;0,0;3,778333333333333;5,0;213,0;9,0;No;0,0
4189-1113;Femenino;Soltero(a);No informa;Ninguna;Tolima;economía;economía;2;economia;3,53;3,52;Si;1;17;54;0,0;6,0;3,175869565217391;12,0;140,0;4,0;Si;1,0
5047-1113;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;economía;economía;2;economia;4,19;3,31;No;1;17;70;0,0;3,0;3,856615384615385;3,0;208,0;9,0;No;0,0
5136-1113;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;economía;economía;2;economia;3,59;3,52;No;1;17;69;0,0;3,0;3,76968253968254;4,0;203,0;9,0;No;0,0
5909-1113;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;economía;economía;2;economia;3,49;3,22;No;1;19;71;0,0;6,0;3,781111111111111;1,0;202,0;9,0;No;0,0
6020-1113;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;economía;economía;2;economia;4,55;4,34;No;1;17;79;0,0;14,0;4,398958333333334;0,0;162,0;9,0;No;0,0
6370-1113;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;economía;economía;2;economia;3,48;2,73;No;1;18;68;0,0;3,0;3,4079032258064514;6,0;215,0;9,0;No;0,0
6456-1113;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;economía;economía;2;economia;3,8;3,6;No;1;17;69;0,0;9,0;4,010175438596491;0,0;198,0;9,0;No;0,0
6478-1113;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;economía;economía;2;economia;3,73;3,38;No;1;16;75;0,0;8,0;3,543333333333333;9,0;213,0;9,0;No;0,0
6786-1113;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;economía;economía;2;economia;3,85;3,98;No;1;16;66;0,0;6,0;3,978070175438596;0,0;198,0;9,0;No;0,0
7951-1113;Femenino;Soltero(a);No pertenece;Ninguna;Tolima;economía;economía;2;economia;4,02;3,56;No;1;24;76;0,0;14,0;4,032352941176471;1,0;164,0;9,0;No;0,0
9670-1113;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;economía;economía;2;economia;4,33;3,56;No;1;17;65;0,0;3,0;4,182166666666666;1,0;202,0;9,0;No;0,0
9692-1113;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;economía;economía;2;economia;4,32;4,53;No;1;17;73;0,0;3,0;4,434754098360656;0,0;198,0;8,0;No;0,0
11247-1113;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;economía;economía;2;economia;3,5;3,86;No;1;17;60;0,0;0,0;3,8256666666666654;4,0;205,0;9,0;No;0,0
12648-1113;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;economía;economía;2;economia;3,92;3,57;No;1;16;75;0,0;8,0;3,916833333333333;0,0;194,0;8,0;No;0,0
12791-1115;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;administracion de empresas;4,22;3,93;Si;1;17;22;0,0;0,0;4,140454545454546;0,0;64,0;3,0;Si;1,0
10348-1115;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;administracion de empresas;3,95;3,92;No;1;17;76;0,0;10,0;4,102769230769231;1,0;183,0;9,0;No;0,0
7605-1115;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;administracion de empresas;3,65;3,48;No;1;18;87;4,0;2,0;3,322911392405063;23,0;234,0;7,0;No;0,0
