Sexo;Estado Civil;Discapacidad;Departamento Nacimiento;Programa;Facultad;Tipo Plan;PROMEDIO_1er_SEMESTRE;PROMEDIO_2do_SEMESTRE;Desertor;Cantidad de materias vistas;Promedio de las materias;Cantidad de materias perdidas;Cantidad de creditos inscritos;Semestre Ubicación
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;4.04;4.22;No;61;4.184;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.73;3.97;No;61;3.883090909090909;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;4.03;3.72;No;61;4.062909090909091;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;4.03;4.34;No;62;4.199464285714286;1.0;159.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.73;4.02;No;63;3.945178571428571;1.0;158.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;4.21;4.07;No;62;4.100727272727273;1.0;159.0;9.0
Femenino;Soltero(a);Ninguna;Santander;comunicación social - periodismo;comunicación social;2;3.61;3.29;Si;38;2.986060606060606;10.0;78.0;3.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.42;3.24;No;69;3.509193548387097;8.0;175.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;4.01;4.04;Si;31;3.994615384615385;1.0;67.0;5.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.31;3.9;No;63;3.8742105263157898;2.0;161.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;4.14;3.99;No;68;4.053;1.0;158.0;9.0
Femenino;Soltero(a);Ninguna;Cesar;comunicación social - periodismo;comunicación social;2;4.13;3.88;No;65;4.268363636363636;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.49;3.95;No;65;3.7433898305084745;4.0;164.0;9.0
Femenino;Casado(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.33;3.81;Si;16;3.586;2.0;36.0;3.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.86;3.64;No;64;3.6622413793103448;3.0;163.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.81;3.9;No;62;3.959107142857143;1.0;159.0;9.0
Femenino;Casado(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.75;3.59;No;64;3.7256896551724137;3.0;162.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.83;4.11;No;61;4.132037037037037;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.77;4.26;No;63;3.975471698113208;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.55;3.91;No;62;3.9144642857142857;1.0;158.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.71;4.25;No;62;4.136071428571428;1.0;158.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;4.0;4.36;No;69;3.854193548387097;7.0;174.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.7;3.9;No;61;4.024339622641509;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Antioquia;comunicación social - periodismo;comunicación social;2;4.14;4.21;No;63;4.213148148148148;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;4.06;3.68;No;62;3.991428571428572;1.0;159.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.62;3.99;No;63;3.9610909090909088;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.45;3.55;No;70;3.617333333333333;6.0;170.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;4.25;4.23;No;63;4.182156862745098;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.3;3.97;No;65;3.806440677966101;4.0;167.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.93;4.19;No;65;4.062941176470589;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.76;4.08;No;69;3.805833333333333;5.0;167.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.75;3.77;No;61;3.9989090909090903;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.81;3.37;No;69;3.591639344262295;7.0;174.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.56;3.33;No;67;3.655081967213115;6.0;170.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.76;3.94;No;62;4.115272727272727;1.0;158.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.6;3.96;No;66;3.902033898305085;4.0;167.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.4;3.51;No;65;3.681694915254237;4.0;168.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.64;3.95;No;63;3.912857142857143;2.0;162.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.58;3.78;Si;31;3.7107407407407407;0.0;67.0;5.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;4.39;4.01;No;70;3.999433962264151;1.0;158.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.54;3.58;No;67;3.575333333333333;6.0;171.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.76;3.48;Si;16;3.608571428571428;2.0;34.0;2.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.42;3.95;No;71;3.633538461538462;10.0;178.0;9.0
Femenino;Soltero(a);Ninguna;Boyacá;comunicación social - periodismo;comunicación social;2;3.43;3.77;No;64;3.945;2.0;161.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.54;4.03;No;61;4.086792452830188;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.47;3.46;No;68;3.691129032258064;7.0;176.0;9.0
Femenino;Soltero(a);Ninguna;Boyacá;comunicación social - periodismo;comunicación social;2;4.01;4.1;No;62;3.968909090909091;1.0;158.0;9.0
Femenino;Soltero(a);Ninguna;Boyacá;comunicación social - periodismo;comunicación social;2;3.91;3.61;No;65;3.796440677966102;4.0;168.0;9.0
Femenino;Soltero(a);Ninguna;Boyacá;comunicación social - periodismo;comunicación social;2;3.71;3.91;No;61;4.073636363636364;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.79;4.05;No;63;3.898947368421053;2.0;161.0;9.0
Femenino;Soltero(a);Ninguna;Cundinamarca;comunicación social - periodismo;comunicación social;2;3.45;3.85;No;64;3.8640350877192975;3.0;165.0;9.0
Femenino;Soltero(a);Ninguna;Cundinamarca;comunicación social - periodismo;comunicación social;2;4.14;4.32;No;65;4.197924528301887;0.0;156.0;9.0
Femenino;Casado(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.3;3.4;Si;23;3.2723809523809524;5.0;52.0;2.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.82;4.07;No;61;4.003454545454545;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Meta;comunicación social - periodismo;comunicación social;2;3.65;4.22;No;63;4.08;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;La Guajira;comunicación social - periodismo;comunicación social;2;4.26;4.42;No;75;4.3986;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Archipiélago de San Andrés, Providencia y Santa Catalina;comunicación social - periodismo;comunicación social;2;3.44;3.54;No;64;3.689298245614035;3.0;162.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.55;3.39;No;66;3.7559322033898304;4.0;166.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.49;3.18;Si;23;3.261428571428571;6.0;52.0;2.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.59;3.41;Si;16;3.5307142857142857;1.0;34.0;2.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;4.43;4.42;Si;13;4.371666666666667;0.0;33.0;2.0
Femenino;Soltero(a);Ninguna;La Guajira;trabajo social;ciencias sociales y humanas;2;3.63;3.77;No;59;3.932372881355932;0.0;170.0;10.0
Femenino;Soltero(a);Ninguna;Antioquia;trabajo social;ciencias sociales y humanas;2;3.66;3.91;No;59;4.069310344827587;0.0;170.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;4.07;3.73;No;59;4.106551724137932;0.0;170.0;10.0
Femenino;Soltero(a);Ninguna;Meta;trabajo social;ciencias sociales y humanas;2;3.72;3.76;No;59;4.02135593220339;0.0;170.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;3.6;3.84;No;59;4.000169491525424;0.0;170.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;3.18;3.52;No;61;3.730983606557377;2.0;175.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;3.59;3.81;No;61;3.88327868852459;2.0;180.0;10.0
Femenino;Soltero(a);Ninguna;Antioquia;trabajo social;ciencias sociales y humanas;2;3.47;3.73;No;60;3.9235;1.0;173.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;3.74;4.12;No;60;4.173103448275862;1.0;173.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;3.58;3.71;No;61;3.849;2.0;175.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;4.49;4.38;No;69;4.37625;0.0;170.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;4.19;4.02;No;59;4.2268965517241375;0.0;170.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;3.64;4.04;No;61;3.9829508196721313;2.0;178.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;3.46;3.42;Si;25;2.616;8.0;64.0;3.0
Femenino;Soltero(a);Ninguna;Nariño;trabajo social;ciencias sociales y humanas;2;3.72;3.7;No;59;3.8964406779661016;0.0;170.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;4.08;4.3;Si;19;3.418421052631579;3.0;49.0;3.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;3.64;3.61;No;59;3.996101694915255;0.0;170.0;10.0
Femenino;Soltero(a);Ninguna;Cundinamarca;trabajo social;ciencias sociales y humanas;2;4.1;3.9;No;59;4.097796610169492;0.0;170.0;10.0
Femenino;Soltero(a);Ninguna;Valle del Cauca;trabajo social;ciencias sociales y humanas;2;3.98;3.52;Si;59;3.9986440677966097;0.0;170.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;3.78;3.68;No;61;4.0530508474576274;0.0;170.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;trabajo social;ciencias sociales y humanas;2;3.86;3.83;No;59;4.141694915254237;0.0;170.0;10.0
Femenino;Soltero(a);Ninguna;Tolima;trabajo social;ciencias sociales y humanas;2;4.09;3.98;Si;61;3.9414754098360656;6.0;169.0;10.0
Femenino;Soltero(a);Ninguna;Norte de Santander;trabajo social;ciencias sociales y humanas;2;3.24;3.92;No;65;3.795692307692308;6.0;192.0;10.0
Femenino;Soltero(a);Ninguna;Arauca;economía;economía;2;4.04;4.06;No;62;4.0937735849056605;0.0;162.0;9.0
Femenino;Soltero(a);Ninguna;Casanare;economía;economía;2;3.63;3.23;No;69;3.778333333333333;5.0;213.0;9.0
Femenino;Soltero(a);Ninguna;Tolima;economía;economía;2;3.53;3.52;Si;54;3.175869565217391;12.0;140.0;4.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;economía;economía;2;4.19;3.31;No;70;3.856615384615385;3.0;208.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;economía;economía;2;3.59;3.52;No;69;3.76968253968254;4.0;203.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;economía;economía;2;3.49;3.22;No;71;3.781111111111111;1.0;202.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;economía;economía;2;4.55;4.34;No;79;4.398958333333334;0.0;162.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;economía;economía;2;3.48;2.73;No;68;3.4079032258064514;6.0;215.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;economía;economía;2;3.8;3.6;No;69;4.010175438596491;0.0;198.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;economía;economía;2;3.73;3.38;No;75;3.543333333333333;9.0;213.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;economía;economía;2;3.85;3.98;No;66;3.978070175438596;0.0;198.0;9.0
Femenino;Soltero(a);Ninguna;Tolima;economía;economía;2;4.02;3.56;No;76;4.032352941176471;1.0;164.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;economía;economía;2;4.33;3.56;No;65;4.182166666666666;1.0;202.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;economía;economía;2;4.32;4.53;No;73;4.434754098360656;0.0;198.0;8.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;economía;economía;2;3.5;3.86;No;60;3.8256666666666654;4.0;205.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;economía;economía;2;3.92;3.57;No;75;3.916833333333333;0.0;194.0;8.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;4.22;3.93;Si;22;4.140454545454546;0.0;64.0;3.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.95;3.92;No;76;4.102769230769231;1.0;183.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.65;3.48;No;87;3.322911392405063;23.0;234.0;7.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;4.29;4.41;No;82;4.233387096774194;1.0;181.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.76;3.54;No;81;3.75948717948718;6.0;219.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;4.18;3.92;No;79;3.96875;3.0;205.0;9.0
Femenino;Soltero(a);Ninguna;Tolima;administración de empresas ;administración de empresas;2;3.88;3.76;Si;61;3.3657894736842104;11.0;167.0;6.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;4.13;3.59;No;81;3.889444444444445;1.0;159.0;9.0
Femenino;Soltero(a);Ninguna;Santander;administración de empresas ;administración de empresas;2;3.65;2.8;No;88;3.35025;15.0;231.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.62;3.52;No;84;3.629480519480519;10.0;221.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;4.45;4.54;No;88;4.508909090909091;0.0;174.0;8.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;4.26;3.9;No;82;4.158888888888889;1.0;203.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.8;3.61;No;85;3.751428571428572;8.0;218.0;9.0
Femenino;Soltero(a);Ninguna;Cundinamarca;administración de empresas ;administración de empresas;2;4.14;4.13;No;82;4.146805555555556;1.0;203.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.74;3.49;No;83;3.798082191780822;4.0;212.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.96;4.21;No;82;4.113055555555556;2.0;206.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.97;4.21;No;78;4.138857142857143;0.0;203.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.64;3.63;Si;85;3.535921052631579;7.0;219.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;4.55;4.56;No;77;4.503387096774193;0.0;194.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;4.13;3.94;No;79;4.1031506849315065;2.0;208.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;4.51;4.32;No;78;4.380461538461539;0.0;197.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.77;3.75;No;80;3.971081081081081;3.0;210.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.61;3.62;No;87;3.4028750000000003;12.0;224.0;9.0
Femenino;Soltero(a);Ninguna;Tolima;administración de empresas ;administración de empresas;2;4.39;4.23;No;79;4.394202898550724;0.0;203.0;9.0
Femenino;Soltero(a);Ninguna;Cesar;administración de empresas ;administración de empresas;2;4.06;3.89;No;82;4.081506849315068;1.0;206.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.88;4.1;No;77;3.9529577464788734;0.0;203.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.66;3.76;No;83;3.665844155844156;6.0;218.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.8;3.61;No;75;3.967619047619048;0.0;181.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.93;3.83;No;78;4.134109589041096;0.0;203.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.85;3.28;Si;22;3.6181818181818177;5.0;64.0;2.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.51;3.54;Si;50;3.3343478260869563;18.0;136.0;3.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;4.29;4.11;No;82;4.1146376811594205;1.0;203.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;4.3;4.15;No;79;4.2316666666666665;0.0;203.0;9.0
Femenino;Soltero(a);Ninguna;Caldas;administración de empresas ;administración de empresas;2;3.64;3.73;No;83;3.6921794871794873;8.0;224.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;4.52;4.56;No;77;4.437678571428571;0.0;174.0;8.0
Femenino;Soltero(a);Ninguna;Boyacá;administración de empresas ;administración de empresas;2;4.5;4.53;No;77;4.340441176470588;1.0;203.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas ;administración de empresas;2;3.62;3.84;Si;29;3.548888888888889;3.0;81.0;9.0
Femenino;Soltero(a);Ninguna;Boyacá;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.81;4.03;No;76;4.0437681159420285;0.0;147.0;10.0
Femenino;Soltero(a);Ninguna;Arauca;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.98;4.09;No;79;4.13014705882353;0.0;147.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;4.21;4.23;No;93;4.118611111111111;1.0;152.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.99;3.99;No;76;4.090869565217391;0.0;147.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.96;3.92;No;76;3.934782608695652;0.0;147.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.6;3.62;No;82;3.814657534246576;4.0;157.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.81;3.6;No;79;3.940714285714286;1.0;149.0;10.0
Femenino;Soltero(a);Ninguna;Cundinamarca;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.18;3.64;Si;36;3.2029411764705884;8.0;78.0;3.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.43;3.77;No;80;3.855342465753425;3.0;156.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.46;3.49;No;81;3.7740540540540537;5.0;157.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.59;3.62;No;81;3.849178082191781;3.0;157.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.7;3.76;No;79;3.7790140845070415;1.0;151.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.4;3.34;No;84;3.697922077922078;8.0;164.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.59;3.56;No;79;3.823888888888889;3.0;153.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.58;3.49;Si;43;3.15725;7.0;89.0;4.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.81;3.74;No;80;3.911805555555555;3.0;153.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.83;3.98;No;80;3.949420289855072;0.0;147.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.45;3.67;No;79;3.6833802816901406;3.0;150.0;10.0
Femenino;Casado(a);Ninguna;Meta;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.66;3.06;Si;16;3.3506666666666667;4.0;36.0;2.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.7;3.78;Si;77;4.0050724637681165;1.0;147.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;4.08;3.83;No;77;3.995857142857143;1.0;149.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.95;3.65;No;76;3.899710144927536;0.0;147.0;10.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;administración de empresas turísticas y hoteleras;administración de empresas turísticas y hoteleras;2;3.31;3.44;No;79;3.753835616438356;4.0;156.0;10.0
